id,status,availability.bikes,availability.slots
460,OPN,24,24
461,OPN,15,15
462,OPN,12,12
463,OPN,24,24
464,OPN,14,14
465,OPN,22,22
466,OPN,23,23
467,OPN,22,22
468,OPN,24,24
469,OPN,17,17
470,OPN,17,17
471,OPN,14,14
472,OPN,13,13
473,OPN,13,13
474,OPN,19,19
475,OPN,20,20
476,OPN,15,15
477,OPN,13,13
478,OPN,23,23
479,OPN,20,20
480,OPN,9,9
