id,status,availability.bikes,availability.slots
113,OPN,11,8
114,OPN,3,21
115,OPN,21,4
116,OPN,0,21
117,OPN,29,4
118,OPN,9,5
119,OPN,6,27
120,OPN,17,6
121,OPN,4,14
122,OPN,11,18
123,OPN,11,19
124,OPN,12,24
125,OPN,22,10
126,OPN,22,14
127,OPN,3,26
128,OPN,23,1
129,OPN,16,8
130,OPN,6,15
131,OPN,3,15
132,OPN,20,3
133,OPN,0,36
134,OPN,4,29
135,OPN,8,28
136,OPN,16,11
137,OPN,13,13
138,OPN,5,19
139,OPN,7,17
140,OPN,0,18
141,OPN,21,8
142,OPN,11,19
143,OPN,19,0
144,OPN,10,15
145,OPN,2,24
146,OPN,21,2
147,OPN,7,20
148,OPN,21,3
149,OPN,24,6
150,CLS,0,27
151,OPN,9,18
152,OPN,11,19
153,OPN,2,19
154,OPN,13,20
155,OPN,8,16
156,OPN,2,19
157,OPN,6,22
158,OPN,15,21
159,OPN,9,26
160,OPN,6,17
161,OPN,1,20
162,OPN,11,16
163,OPN,0,36
164,OPN,1,25
165,OPN,4,17
166,OPN,3,21
167,OPN,0,17
168,OPN,2,19
169,OPN,13,8
170,OPN,3,17
171,OPN,8,19
172,OPN,3,15
173,OPN,2,18
174,OPN,13,20
175,OPN,8,16
176,OPN,15,20
177,OPN,0,21
178,OPN,12,14
179,OPN,3,24
180,OPN,11,19
181,OPN,3,20
182,OPN,7,28
183,OPN,3,33
184,OPN,18,18
185,OPN,16,14
186,OPN,11,7
187,OPN,3,18
188,OPN,5,10
189,OPN,0,18
190,OPN,4,20
191,OPN,4,17
192,OPN,15,21
193,OPN,6,29
194,OPN,8,16
195,OPN,13,10
196,OPN,15,12
197,OPN,18,17
198,OPN,7,19
199,OPN,9,14
200,OPN,9,17
201,OPN,17,1
202,OPN,17,4
203,OPN,17,7
204,OPN,17,10
205,OPN,12,8
206,OPN,16,7
207,OPN,2,20
208,OPN,1,26
209,OPN,8,16
210,OPN,13,12
211,OPN,0,35
212,OPN,3,33
213,OPN,1,23
214,OPN,1,23
215,OPN,11,13
216,OPN,15,9
217,OPN,27,9
218,OPN,4,20
219,OPN,10,25
220,OPN,5,19
221,OPN,10,13
222,OPN,7,17
223,OPN,1,29
224,OPN,9,12
225,OPN,7,16
226,OPN,6,21
227,OPN,8,15
228,OPN,1,20
229,OPN,9,12
230,OPN,3,14
231,OPN,6,20
232,OPN,9,21
233,OPN,15,0
234,OPN,6,21
235,OPN,11,16
236,OPN,7,22
237,OPN,9,20
238,OPN,20,10
239,OPN,10,11
240,OPN,15,21
241,OPN,7,17
242,OPN,22,7
243,OPN,13,13
244,OPN,12,6
245,OPN,14,10
246,OPN,8,7
247,OPN,2,20
248,OPN,4,23
249,OPN,8,10
250,OPN,12,14
251,OPN,7,10
252,OPN,4,14
253,OPN,9,12
254,OPN,8,22
255,OPN,12,24
256,OPN,0,27
257,OPN,5,16
258,OPN,7,23
259,OPN,6,18
260,OPN,4,16
261,OPN,8,21
262,OPN,11,21
263,OPN,5,25
264,OPN,7,28
265,OPN,12,24
266,OPN,6,28
267,OPN,1,32
268,OPN,16,19
269,OPN,3,32
270,OPN,19,14
271,OPN,0,36
272,OPN,1,34
273,OPN,5,30
274,OPN,3,32
275,OPN,7,26
276,OPN,12,14
277,OPN,20,7
278,OPN,11,9
279,OPN,1,24
280,OPN,30,5
281,OPN,12,18
282,OPN,8,9
283,OPN,16,5
284,OPN,19,14
285,OPN,10,8
286,OPN,5,16
287,OPN,6,15
288,OPN,13,5
289,OPN,10,7
290,OPN,22,4
291,OPN,21,5
292,OPN,26,9
293,OPN,21,12
294,OPN,11,12
295,OPN,7,28
296,OPN,7,13
297,OPN,13,17
298,OPN,6,15
299,OPN,17,6
300,OPN,5,16
301,OPN,4,20
302,OPN,19,17
303,OPN,5,19
304,OPN,11,22
305,OPN,16,20
306,OPN,18,18
307,OPN,7,19
308,OPN,11,19
309,OPN,3,24
310,OPN,11,0
311,OPN,14,4
312,OPN,9,18
313,OPN,1,23
314,OPN,21,0
315,OPN,10,11
316,OPN,6,21
317,OPN,11,24
318,OPN,15,5
319,OPN,1,25
320,OPN,7,7
321,OPN,4,20
322,OPN,9,18
323,OPN,5,18
324,OPN,3,14
325,OPN,2,21
326,OPN,12,24
327,OPN,4,20
328,OPN,4,6
329,OPN,1,23
330,OPN,3,15
331,OPN,13,13
332,OPN,2,22
333,OPN,6,14
334,OPN,17,10
335,OPN,9,24
336,OPN,11,10
337,OPN,1,20
338,OPN,4,17
339,OPN,15,6
340,OPN,3,26
341,OPN,5,24
342,OPN,21,15
343,OPN,5,6
344,OPN,19,7
345,OPN,16,5
346,OPN,2,1
347,OPN,11,16
348,OPN,6,12
349,OPN,12,8
350,OPN,8,22
351,OPN,5,10
352,OPN,0,29
353,OPN,5,22
354,CLS,0,23
355,OPN,9,12
356,OPN,14,4
357,OPN,18,6
358,OPN,4,20
359,OPN,2,30
360,OPN,2,18
361,OPN,21,6
362,OPN,1,20
363,OPN,3,18
364,OPN,5,22
365,OPN,6,24
366,OPN,1,23
367,OPN,7,13
368,OPN,0,24
369,OPN,18,18
370,OPN,4,26
371,OPN,12,9
372,OPN,18,3
373,OPN,0,18
374,OPN,17,3
375,OPN,11,13
376,OPN,6,21
377,OPN,13,22
378,OPN,4,25
379,OPN,23,13
380,OPN,15,12
381,OPN,4,19
382,OPN,5,19
383,OPN,3,11
384,OPN,1,19
385,OPN,16,19
386,OPN,1,31
387,OPN,1,17
388,OPN,10,11
389,OPN,19,17
390,OPN,11,25
391,OPN,2,19
392,OPN,4,16
393,OPN,11,24
394,OPN,10,25
395,OPN,12,12
396,OPN,11,10
397,OPN,6,24
398,OPN,5,20
399,OPN,10,25
400,OPN,13,11
401,OPN,11,18
402,OPN,18,11
403,OPN,5,25
404,OPN,14,15
405,OPN,2,28
406,OPN,5,16
407,OPN,6,15
408,OPN,7,20
409,OPN,14,10
410,OPN,17,6
411,OPN,18,18
412,OPN,20,14
413,OPN,31,3
414,OPN,11,15
415,OPN,8,22
416,OPN,12,17
417,OPN,1,29
418,OPN,9,25
419,OPN,17,13
420,OPN,13,12
421,OPN,9,21
422,OPN,5,16
423,OPN,7,17
424,OPN,1,14
425,OPN,14,21
426,OPN,19,17
427,OPN,1,20
428,OPN,2,23
429,OPN,16,5
430,OPN,9,19
431,OPN,8,13
432,OPN,17,19
433,OPN,1,20
434,OPN,13,10
435,OPN,8,27
436,OPN,10,20
437,OPN,6,15
438,OPN,6,17
439,OPN,3,15
440,CLS,0,0
441,OPN,11,17
442,OPN,11,12
443,OPN,14,16
444,OPN,7,11
445,OPN,12,10
446,OPN,9,25
447,OPN,8,19
448,OPN,5,25
449,OPN,7,15
450,OPN,24,5
451,OPN,9,26
452,OPN,9,9
453,OPN,5,28
454,OPN,11,13
455,OPN,5,16
456,OPN,6,19
457,OPN,9,13
458,OPN,7,16
459,OPN,11,13
460,OPN,8,24
461,OPN,16,15
462,OPN,8,12
463,OPN,3,24
464,OPN,9,14
465,OPN,1,22
466,OPN,2,23
467,OPN,2,22
468,OPN,9,24
469,OPN,7,17
470,OPN,9,17
471,OPN,10,14
472,OPN,9,13
473,OPN,9,13
474,OPN,9,19
475,OPN,4,20
476,OPN,19,15
477,OPN,11,13
478,OPN,4,23
479,OPN,4,20
480,OPN,10,9
